scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
ICICI Pru Retirement Fund,100,5000,1.22,209.0,4,Lalit Kumar,-0.01,0.86,0.78,0.0,6,ICICI Prudential Mutual Fund,5,Solution Oriented,Retirement Funds,0.1,31.3,
SBI Large & Midcap Fund,500,5000,0.99,9441.0,10,Saurabh Pant,0.02,0.8,0.73,0.04,6,SBI Mutual Fund,5,Equity,Large & Mid Cap Funds,6.5,30.2,13.6
Canara Robeco Bluechip Equity Fund,1000,5000,0.48,8672.0,10,Shridatta Bhandwaldar,-0.01,0.9,0.91,0.01,6,Canara Robeco Mutual Fund,5,Equity,Large Cap Mutual Funds,1.7,24.3,14.4
Baroda BNP Paribas Aggressive Hybrid Fund,300,5000,0.61,772.0,6,Jitendra Sriram,0.0,0.72,0.71,0.01,6,Baroda BNP Paribas Mutual Fund,5,Hybrid,Aggressive Hybrid Mutual Funds,3.5,20.6,13.3
HDFC Gold Fund,100,100,0.18,1402.0,10,Nirman Morakhia,0.01,0.67,0.04,0.02,5,HDFC Mutual Fund,5,Other,FoFs Domestic,14.2,12.3,13.4
Kotak Bluechip Fund,100,1000,0.64,5259.0,10,Harish Krishnan,0.0,0.93,0.93,0.02,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6
JM Large Cap Fund,500,5000,1.8,44.0,10,Gurvinder Singh Wasan,0.01,0.9,0.88,0.02,6,JM Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4
Mirae Asset Equity Savings Fund,1000,5000,0.43,573.0,4,Harshad Borawake,0.0,0.38,0.37,0.01,4,Mirae Asset Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,3.7,16.1,
Kotak Debt Hybrid Fund,1000,5000,0.44,1650.0,10,Devender Singhal,0.01,0.26,0.22,0.04,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10.0
Canara Robeco Conservative Hybrid Fund,1000,5000,0.57,1069.0,10,Avnish Jain,0.0,0.24,0.22,0.01,4,Canara Robeco Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,3.8,11.4,9.4
Edelweiss Equity Savings Fund,500,5000,0.7,258.0,8,Bharat Lahoti,0.0,0.34,0.28,0.02,4,Edelweiss Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,4.4,12.1,9.0
ICICI Pru Regular Savings Fund,100,5000,0.99,3212.0,10,Manish Banthia,0.01,0.21,0.18,0.04,4,ICICI Prudential Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9.0
ICICI Pru Income Optimizer Fund,1000,5000,0.26,272.0,10,Dharmesh Kakkad,0.01,0.2,0.15,0.08,3,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,7.8,13.3,8.8
ICICI Pru BHARAT 22 FOF  – Direct Growth,1000,5000,0.08,89.0,5,Kayzad Eghlim,0.06,0.99,0.7,0.07,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,22.1,35.0,
SBI Banking & Financial Services Fund,500,5000,0.78,3747.0,8,Milind Agrawal,0.02,1.14,1.04,0.03,6,SBI Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,5.5,22.4,12.5
Edelweiss Govt Securities Fund,500,5000,0.66,119.0,9,Dhawal Dalal,0.0,0.17,0.03,-0.02,3,Edelweiss Mutual Fund,5,Debt,Gilt Mutual Funds,4.3,6.8,8.2
SBI Magnum Gilt Fund,500,5000,0.46,4301.0,10,Dinesh Ahuja,0.0,0.14,0.03,0.02,3,SBI Mutual Fund,5,Debt,Gilt Mutual Funds,5.7,6.1,8.3
ICICI Pru Gilt Fund,1000,5000,0.56,2692.0,10,Rahul Goswami,0.01,0.11,0.02,0.06,3,ICICI Prudential Mutual Fund,5,Debt,Gilt Mutual Funds,6.3,6.7,8.4
ICICI Pru All Seasons Bond Fund,100,5000,0.62,6754.0,10,Manish Banthia,0.01,0.12,0.02,0.07,3,ICICI Prudential Mutual Fund,5,Debt,Dynamic Bond,6.5,7.5,8.2
Baroda BNP Paribas Credit Risk Fund,500,5000,0.78,179.0,8,Prashant Pimple,0.01,0.07,0.02,0.07,4,Baroda BNP Paribas Mutual Fund,5,Debt,Credit Risk Funds,5.7,10.9,7.6
Nippon India GSF – Dir-Defined Maturity Date,100,5000,0.63,1158.0,10,Pranay Sinha,0.0,0.14,0.03,-0.01,2,Nippon India Mutual Fund,5,Debt,Gilt Mutual Funds,4.4,5.5,8.3
ICICI Pru Banking & PSU Debt Fund,100,500,0.38,7265.0,10,Rahul Goswami,0.01,0.07,0.01,0.08,2,ICICI Prudential Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2
ICICI Pru Corporate Bond Fund,100,100,0.3,16998.0,10,Rahul Goswami,0.01,0.06,0.01,0.09,2,ICICI Prudential Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3
Tata Dynamic Bond Fund,150,5000,0.27,144.0,10,Akhil Mittal,0.01,0.08,0.01,0.07,2,Tata Mutual Fund,5,Debt,Dynamic Bond,1.7,32.4,13.3
Sundaram Balanced Advantage Fund,500,100,0.62,1532.0,10,S Bharath,0.0,0.53,0.51,0.02,4,Sundaram Mutual Fund,5,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,11.9,7.2
Nippon India Corporate Bond Fund,0,5000,0.32,1701.0,10,Vivek Sharma,0.0,0.07,0.02,0.03,3,Nippon India Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7.0
Nippon India Corporate Bond Fund,100,5000,0.32,1701.0,10,Vivek Sharma,0.0,0.07,0.02,0.03,3,Nippon India Mutual Fund,5,Debt,Corporate Bond Mutual Funds,5.1,6.8,7.0
AXIS Corporate Debt Fund,1000,5000,0.22,3783.0,6,Devang Shah,0.0,0.07,0.01,0.03,3,Axis Mutual Fund,5,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3
Aditya Birla SL Floating Rate Fund,1000,1000,0.23,12364.0,10,Kaustubh Gupta,0.01,0.04,0.01,0.15,2,Aditya Birla Sun Life Mutual Fund,5,Debt,Floater Mutual Funds,5.8,6.4,6.8
Tata Money Market Fund,150,5000,0.17,8814.0,10,Amit Somani,0.01,0.02,0.0,0.22,3,Tata Mutual Fund,5,Debt,Money Market Funds,5.7,5.6,4.8
Aditya Birla SL Medium Term Plan – Direct Growth,1000,1000,0.86,1652.0,10,Sunaina da Cunha,0.07,0.98,-0.04,0.07,4,Aditya Birla Sun Life Mutual Fund,5,Debt,Medium Duration Funds,22.1,14.5,8.6
Nippon India Money Market Fund,100,500,0.21,10718.0,10,Anju Chhajer,0.01,0.02,0.0,0.25,3,Nippon India Mutual Fund,5,Debt,Money Market Funds,5.7,5.3,6.3
Tata Arbitrage Fund,150,5000,0.28,5925.0,4,Sailesh Jain,0.0,0.07,-0.02,0.07,1,Tata Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.7,5.0,
UTI-Bond Fund,500,500,1.29,285.0,10,Amandeep Chopra,0.03,0.54,-0.02,0.05,3,UTI Mutual Fund,5,Debt,Medium to Long Duration Funds,12.0,10.4,4.4
Edelweiss Arbitrage Fund,500,5000,0.37,5393.0,9,Bhavesh Jain,0.01,0.06,-0.02,0.08,1,Edelweiss Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7
Quant Liquid Plan – Direct Growth,1000,5000,0.29,1561.0,10,Sanjeev Sharma,0.0,0.02,0.0,0.25,2,Quant Mutual Fund,5,Debt,Liquid Mutual Funds,5.6,4.9,5.9
Nippon India USD Fund,100,100,0.38,5114.0,10,Vivek Sharma,0.01,0.02,0.0,0.27,3,Nippon India Mutual Fund,5,Debt,Ultra Short Duration Funds,5.9,7.0,5.9
Invesco India Arbitrage Fund,500,1000,0.38,3184.0,10,Deepak Gupta,0.01,0.06,-0.02,0.13,1,Invesco Mutual Fund,5,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6
UTI-Ultra Short Term Fund,500,500,0.44,2130.0,10,Ritesh Nambiar,0.0,0.02,0.0,0.19,3,UTI Mutual Fund,5,Debt,Ultra Short Duration Funds,5.4,6.1,5.7
Aditya Birla SL Dynamic Bond Fund,1000,1000,0.64,1795.0,10,Mohit Sharma,0.01,0.19,0.01,0.06,3,Aditya Birla Sun Life Mutual Fund,5,Debt,Dynamic Bond,7.5,8.0,6.0
UTI-Short Term Income Fund,500,500,0.33,2269.0,10,Sudhir Agrawal,0.0,0.06,0.01,0.04,3,UTI Mutual Fund,5,Debt,Short Duration Funds,5.0,8.5,5.4
Mahindra Manulife Liquid Fund,0,1000,0.15,514.0,7,Rahul Pal,0.0,0.01,0.0,0.33,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4
Baroda BNP Paribas Liquid Fund,500,5000,0.19,6686.0,10,Vikram Pamnani,0.0,0.01,0.0,0.33,2,Baroda BNP Paribas Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.4,5.4
Sundaram Short Duration Fund,2000,5000,0.28,200.0,10,Dwijendra Srivastava,0.0,0.06,0.01,0.02,2,Sundaram Mutual Fund,5,Debt,Short Duration Funds,4.8,6.4,4.8
UTI-Treasury Advantage Fund,500,500,0.33,2565.0,10,Anurag Mittal,0.0,0.03,0.01,0.12,2,UTI Mutual Fund,5,Debt,Low Duration Funds,5.2,7.3,4.8
Bank of India Short Term Income – Direct Growth,1000,5000,0.98,72.0,10,Mithraem Bharucha,0.09,1.06,-0.01,0.08,2,Bank of India Mutual Fund,5,Debt,Short Duration Funds,28.3,8.8,4.0
Bank of India Credit Risk Fund,0,5000,1.54,161.0,8,Alok Singh,0.5,7.77,-0.1,0.06,4,Bank of India Mutual Fund,5,Debt,Credit Risk Funds,130.8,12.8,-4.1
HSBC Overnight Fund,500,5000,0.1,2759.0,4,Kapil Punjabi,0.0,0.01,0.0,0.31,1,HSBC Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
Parag Parikh Tax Saver Fund,1000,500,0.8,1147.0,4,Rajeev Thakkar,0.02,0.75,0.69,0.04,6,PPFAS Mutual Fund,5,Equity,ELSS Mutual Funds,8.0,33.0,
Mirae Asset Overnight Fund,1000,5000,0.11,632.0,3,Abhishek Iyer,0.0,0.01,0.0,0.32,1,Mirae Asset Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Large & Mid Cap Fund,500,1000,0.51,1056.0,3,Manish Lodha,-0.01,1.0,0.87,0.0,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,
Bank of India Overnight Fund,0,5000,0.17,82.0,3,Mithraem Bharucha,0.0,0.01,0.0,0.33,1,Bank of India Mutual Fund,5,Debt,Overnight Mutual Funds,5.5,4.0,
ICICI Pru India Equity FOF – Direct Growth,100,500,0.88,62.0,3,Dharmesh Kakkad,0.01,0.82,0.77,0.02,6,ICICI Prudential Mutual Fund,5,Other,FoFs Domestic,4.9,32.2,
Sundaram Large Cap Fund,100,100,0.6,2855.0,2,Sudhir Kedia,0.0,0.93,0.94,0.01,6,Sundaram Mutual Fund,5,Equity,Large Cap Mutual Funds,0.9,,
ITI Banking & PSU Debt Fund,500,5000,0.15,27.0,2,Vikrant Mehta,0.0,0.04,0.0,0.1,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,,
ITI Dynamic Bond Fund,500,5000,0.14,57.0,2,Vikrant Mehta,0.0,0.06,0.01,0.09,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,,
Bank of India Small Cap Fund,1000,5000,1.52,414.0,4,Dhruv Bhatia,0.0,0.9,0.68,0.01,6,Bank of India Mutual Fund,4,Equity,Small Cap Mutual Funds,-1.0,47.7,
Kotak Small Cap Fund,500,500,0.59,8617.0,10,Pankaj Tibrewal,0.0,0.77,0.55,0.01,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17.0
Edelweiss Small Cap Fund,500,5000,0.6,1458.0,4,Sahil Shah,0.01,0.93,0.7,0.02,6,Edelweiss Mutual Fund,4,Equity,Small Cap Mutual Funds,3.0,42.5,
Nippon India Small Cap Fund,100,5000,0.86,23910.0,10,Samir Rachh,0.03,1.0,0.76,0.04,6,Nippon India Mutual Fund,4,Equity,Small Cap Mutual Funds,8.7,47.6,16.8
Tata Small Cap Fund,150,5000,0.26,3300.0,4,Chandraprakash Padiyar,0.05,0.88,0.59,0.07,6,Tata Mutual Fund,4,Equity,Small Cap Mutual Funds,17.1,44.1,
SBI Small Cap Fund,500,5000,0.7,15395.0,10,R Srinivasan,0.03,0.78,0.54,0.04,6,SBI Mutual Fund,4,Equity,Small Cap Mutual Funds,8.2,38.3,15.3
SBI Magnum Midcap Fund,500,5000,0.97,8732.0,10,Sohini Andani,0.02,0.87,0.65,0.03,6,SBI Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.4,37.0,13.5
Kotak Emerging Equity Fund,100,100,0.49,23962.0,10,Pankaj Tibrewal,0.02,0.87,0.68,0.04,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2
Edelweiss Mid Cap Fund,500,5000,0.57,2530.0,10,Trideep Bhattacharya,0.01,1.01,0.8,0.02,6,Edelweiss Mutual Fund,4,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0
Bank of India Tax Advantage Fund,500,500,1.31,676.0,10,Alok Singh,0.0,0.94,0.86,0.01,6,Bank of India Mutual Fund,4,Equity,ELSS Mutual Funds,0.9,29.0,13.2
Bank of India Manufacturing & Infrastr Fund,1000,5000,1.55,87.0,10,Nitin Gosar,0.02,0.98,0.76,0.03,6,Bank of India Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5
Nippon India Growth Fund,100,100,1.09,13409.0,10,Rupesh Patel,0.01,0.98,0.79,0.02,6,Nippon India Mutual Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5
Nippon India Growth Fund,0,100,1.09,13409.0,10,Rupesh Patel,0.01,0.98,0.79,0.02,6,Nippon India Mutual Fund,4,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5
Bank of India Mid & Small Cap Equity & Debt Fund,1000,5000,1.92,380.0,7,Alok Singh,-0.01,0.85,0.6,0.0,6,Bank of India Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4
ICICI Pru Value Discovery Fund,100,1000,1.22,27449.0,10,Sankaran Naren,0.03,0.77,0.67,0.05,6,ICICI Prudential Mutual Fund,4,Equity,Value Funds,8.9,36.9,14.9
SBI Consumption Opportunities Fund,500,5000,1.18,1185.0,10,Saurabh Pant,0.04,0.75,0.58,0.06,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,11.1,31.0,12.7
ICICI Pru Multi-Asset Fund,100,5000,1.15,16449.0,10,Sankaran Naren,0.03,0.54,0.45,0.07,6,ICICI Prudential Mutual Fund,4,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1.0,727.0,10,Harish Krishnan,0.07,0.89,0.7,0.09,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9
PGIM India Elss Tax Saver Fund,500,500,1.0,451.0,7,Srinivas Rao Ravuri,0.01,0.86,0.82,0.02,6,PGIM India Mutual Fund,4,Equity,ELSS Mutual Funds,2.9,31.8,13.7
Canara Robeco Consumer Trends Fund,1000,5000,1.0,935.0,10,Shridatta Bhandwaldar,0.01,0.92,0.82,0.03,6,Canara Robeco Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1
Edelweiss Large & Mid Cap Fund,500,5000,0.6,1711.0,10,Abhishek Gupta,0.0,0.92,0.86,0.01,6,Edelweiss Mutual Fund,4,Equity,Large & Mid Cap Funds,1.2,27.8,13.2
SBI Infrastructure Fund,500,5000,1.88,927.0,10,Bhavin Vithiani,0.03,0.82,0.7,0.05,6,SBI Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,12.8,33.5,13.0
DSP Tax Saver Fund,500,500,0.81,10129.0,10,Rohit Singhania,0.0,0.88,0.84,0.01,6,DSP Mutual Fund,4,Equity,ELSS Mutual Funds,1.8,28.8,13.3
ICICI Pru Large & Mid Cap Fund,100,5000,1.09,7044.0,10,Ihab Dalwai,0.03,0.85,0.82,0.05,6,ICICI Prudential Mutual Fund,4,Equity,Large & Mid Cap Funds,9.5,33.2,13.7
Union Long Term Equity Fund,500,500,1.62,573.0,10,Sanjay Bembalkar,0.0,0.88,0.87,0.02,6,Union Mutual Fund,4,Equity,ELSS Mutual Funds,2.3,28.5,12.8
UTI-Flexi Cap Fund,500,5000,0.9,23944.0,10,Ajay Tyagi,-0.05,0.93,0.85,-0.04,6,UTI Mutual Fund,4,Equity,Flexi Cap Funds,-9.0,22.5,12.2
Sundaram Focused Fund,100,300,1.2,771.0,10,Ravi Gopalakrishnan,-0.02,0.99,0.93,0.0,6,Sundaram Mutual Fund,4,Equity,Focused Funds,-1.8,24.5,13.1
Union Flexi Cap Fund,500,1000,1.06,1337.0,10,Sanjay Bembalkar,-0.01,0.87,0.86,0.0,6,Union Mutual Fund,4,Equity,Flexi Cap Funds,0.6,27.7,12.9
Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608.0,10,Harsha Upadhyaya,0.02,0.9,0.83,0.03,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9
IDBI India Top 100 Equity Fund,500,5000,1.26,599.0,10,Alok Ranjan,-0.01,0.98,0.97,0.01,6,IDBI Mutual Fund,4,Equity,Large Cap Mutual Funds,0.5,26.0,12.4
Canara Robeco Flexi Cap Fund,1000,5000,0.55,8630.0,10,Shridatta Bhandwaldar,-0.01,0.89,0.88,0.0,6,Canara Robeco Mutual Fund,4,Equity,Flexi Cap Funds,-0.9,24.8,13.8
Kotak Tax Saver Fund,500,500,0.69,3167.0,10,Harsha Upadhyaya,0.01,0.91,0.86,0.03,6,Kotak Mahindra Mutual Fund,4,Equity,ELSS Mutual Funds,5.0,28.9,14.4
ICICI Pru Focused Equity Fund,100,5000,0.59,3920.0,10,Sankaran Naren,0.02,0.89,0.86,0.03,6,ICICI Prudential Mutual Fund,4,Equity,Focused Funds,6.1,31.2,13.4
AXIS Gold Fund,1000,5000,0.17,290.0,10,Aditya Pagaria,0.02,0.73,0.01,0.02,5,Axis Mutual Fund,4,Other,FoFs Domestic,14.5,12.0,13.7
Invesco India Contra Fund,500,1000,0.62,9347.0,10,Taher Badshah,0.0,0.9,0.88,0.02,6,Invesco Mutual Fund,4,Equity,Contra Funds,2.8,27.6,12.3
Kotak India EQ Contra Fund,1000,5000,0.81,1440.0,10,Shibani Kurian,0.02,0.91,0.88,0.03,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2
Invesco India Gold Fund,500,1000,0.16,59.0,10,Krishna Cheemalapati,0.01,0.94,0.07,0.02,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2
UTI-Value Opportunities Fund,500,5000,1.16,6740.0,10,Vetri Subramaniam,0.0,0.89,0.85,0.02,6,UTI Mutual Fund,4,Equity,Value Funds,1.7,27.2,12.2
Tata Large & Mid Cap Fund,150,5000,0.89,3680.0,10,Chandraprakash Padiyar,0.03,0.86,0.8,0.05,6,Tata Mutual Fund,4,Equity,Large & Mid Cap Funds,8.8,33.5,14.0
Franklin India Flexi Cap Fund,500,5000,1.1,9989.0,10,Anand Radhakrishnan,0.0,0.91,0.88,0.01,6,Franklin Templeton Mutual Fund,4,Equity,Flexi Cap Funds,3.8,31.1,12.0
JM Flexicap Fund,500,5000,1.62,255.0,10,Gurvinder Singh Wasan,0.02,0.97,0.93,0.03,6,JM Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8
Franklin India Focused Equity Fund,500,5000,1.16,8022.0,10,Ajay Argal,0.01,0.9,0.86,0.02,6,Franklin Templeton Mutual Fund,4,Equity,Focused Funds,5.1,30.9,12.9
Edelweiss Aggressive Hybrid Fund,500,5000,0.36,469.0,10,Bharat Lahoti,0.01,0.69,0.66,0.03,6,Edelweiss Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0
Mahindra Manulife Large Cap Fund,500,1000,0.67,215.0,4,Abhinav Khandelwal,-0.01,0.92,0.91,0.0,6,Mahindra Manulife Mutual Fund,4,Equity,Large Cap Mutual Funds,0.3,25.7,
AXIS Flexi Cap Fund,500,500,0.7,10077.0,5,Shreyash Devalkar,-0.04,0.89,0.85,-0.03,6,Axis Mutual Fund,4,Equity,Flexi Cap Funds,-8.3,17.9,12.3
Baroda BNP Paribas Large Cap Fund,300,5000,0.94,1347.0,10,Jitendra Sriram,0.0,0.9,0.91,0.01,6,Baroda BNP Paribas Mutual Fund,4,Equity,Large Cap Mutual Funds,3.0,23.5,12.8
UTI-Mastershare – Direct Growth,500,100,0.97,10312.0,10,Karthikraj Lakshmanan,-0.02,0.9,0.9,0.0,6,UTI Mutual Fund,4,Equity,Large Cap Mutual Funds,-2.0,24.2,11.5
Edelweiss Balanced Advantage Fund,500,5000,0.51,8780.0,10,Bhavesh Jain,0.0,0.53,0.51,0.01,6,Edelweiss Mutual Fund,4,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0
HDFC Flexi Cap Fund,100,100,1.0,31672.0,10,Roshi Jain,0.04,0.89,0.84,0.05,6,HDFC Mutual Fund,4,Equity,Flexi Cap Funds,12.4,34.5,14.0
Canara Robeco Equity Hybrid Fund,1000,5000,0.63,8235.0,10,Shridatta Bhandwaldar,-0.01,0.68,0.67,0.0,6,Canara Robeco Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2
